concentration_wt,nominal_drive_frequency_hz,mean_actual_drive_frequency_hz,std_actual_drive_frequency_hz,mean_measured_gamma_g,std_measured_gamma_g,n_runups,run_ids,plot_error_gamma_g,nu_m2_s,mu_pa_s,depth_mm,rho_kg_m3,surface_tension_N_per_m,rect_mode_theory_gamma_g,continuous_min_theory_gamma_g,absolute_error_gamma_g
20,15.0,15.299999999999953,0.0,0.17751526431423878,0.04749802439946522,3,may27_20wt_15Hz_runup_IMG_0045; may27_20wt_15Hz_runup_IMG_0046; may27_20wt_15Hz_runup_IMG_0047,0.04749802439946522,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.07593280979780324,0.04071467165363004,0.13680059266060873
20,17.0,17.399999999999945,0.0,0.26627285479914214,0.021512131731277157,3,may27_20wt_17Hz_runup_IMG_0051; may27_20wt_17Hz_runup_IMG_0052; may27_20wt_17Hz_runup_IMG_0053,0.021512131731277157,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04809152280181187,0.03915351563682066,0.2271193391623215
20,20.0,20.499999999999936,0.0,0.27351976461387295,0.004680940713678597,3,may27_20wt_20Hz_runup_IMG_0056; may27_20wt_20Hz_runup_IMG_0057; may27_20wt_20Hz_runup_IMG_0058,0.004680940713678597,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04304334224345856,0.03934612090449731,0.23417364370937566
20,22.0,22.54999999999993,0.0,0.307678475690991,0.0112091268443572,3,may27_20wt_22Hz_runup_IMG_0061; may27_20wt_22Hz_runup_IMG_0062; may27_20wt_22Hz_runup_IMG_0063,0.0112091268443572,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.06040058953262629,0.040794094283232885,0.2668843814077581
20,25.0,25.69999999999992,0.0,0.3314863375031782,0.000950112226146237,3,may27_20wt_25Hz_runup_IMG_0066; may27_20wt_25Hz_runup_IMG_0067; may27_20wt_25Hz_runup_IMG_0068,0.000950112226146237,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.07785498744081444,0.04489615243759748,0.2865901850655807
20,27.0,27.64999999999991,0.0,0.35602119058350884,0.034982849190276076,3,may27_20wt_27Hz_runup_IMG_0001; may27_20wt_27Hz_runup_IMG_0002; may27_20wt_27Hz_runup_IMG_0003,0.034982849190276076,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.05856735234415261,0.04853020191711425,0.30749098866639457
20,30.0,30.749999999999897,0.0,0.3945358964158177,0.022003658307616025,3,may27_20wt_30Hz_runup_IMG_0006; may27_20wt_30Hz_runup_IMG_0007; may27_20wt_30Hz_runup_IMG_0008,0.022003658307616025,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.055229754096565636,0.05523819687372056,0.33929769954209715
30,15.0,15.149999999999952,0.0,0.21582619285720536,0.022137873689388982,4,may29_30wt_15Hz_runup_IMG_0003; may29_30wt_15Hz_runup_IMG_0004; may29_30wt_15Hz_runup_IMG_0005; may29_30wt_15Hz_runup_IMG_0006,0.022137873689388982,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.10943787034110639,0.04122499287807254,0.17460119997913282
30,17.0,17.099999999999945,0.0,0.18986017470626793,0.003819324244878756,4,may29_30wt_17Hz_runup_IMG_0008; may29_30wt_17Hz_runup_IMG_0009; may29_30wt_17Hz_runup_IMG_0010; may29_30wt_17Hz_runup_IMG_0011,0.003819324244878756,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.08721577407865538,0.040620491700805034,0.1492396830054629
30,20.0,20.287499999999934,0.02499999999999858,0.22780218171660477,0.04808233029214199,4,may29_30wt_20Hz_runup_IMG_0013; may29_30wt_20Hz_runup_IMG_0014; may29_30wt_20Hz_runup_IMG_0015; may29_30wt_20Hz_runup_IMG_0016,0.04808233029214199,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.04488047466089994,0.04285741463421046,0.18494476708239432
30,22.0,22.19999999999993,0.0,0.29354109454406174,0.011933481186817578,4,may29_30wt_22Hz_runup_IMG_0018; may29_30wt_22Hz_runup_IMG_0019; may29_30wt_22Hz_runup_IMG_0020; may29_30wt_22Hz_runup_IMG_0021,0.011933481186817578,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.04715344112062265,0.045863383688702825,0.24767771085535892
30,25.0,25.349999999999916,0.0,0.30920973780391786,0.004834054753079895,4,may29_30wt_25Hz_runup_IMG_0023; may29_30wt_25Hz_runup_IMG_0024; may29_30wt_25Hz_runup_IMG_0025; may29_30wt_25Hz_runup_IMG_0026,0.004834054753079895,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.05825976924652908,0.05317482857191038,0.2560349092320075
30,27.0,27.299999999999912,0.0,0.3930978079493841,0.01091522832718428,3,may29_30wt_27Hz_runup_IMG_0028; may29_30wt_27Hz_runup_IMG_0031; may29_30wt_27Hz_runup_IMG_0033,0.01091522832718428,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.05885348095030342,0.05888068353441675,0.3342171244149673
30,30.0,30.3499999999999,0.0,0.42305787887468504,0.014688315556739133,4,may29_30wt_30Hz_runup_IMG_0035; may29_30wt_30Hz_runup_IMG_0036; may29_30wt_30Hz_runup_IMG_0037; may29_30wt_30Hz_runup_IMG_0038,0.014688315556739133,1.97791093586089e-06,0.002123805815342,6.519134871469532,1073.7621077046488,0.070275,0.07849248271698622,0.06938206240546625,0.3536758164692188
40,15.0,15.674999999999951,0.03535533905932725,0.2767518903650066,0.012576828741610098,2,may26_15Hz_runup_IMG_0113; may26_15Hz_runup_IMG_0112,0.012576828741610098,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.07137815005198689,0.06907474415474221,0.20767714621026437
40,17.0,18.82499999999994,0.03535533905932913,0.1826818575130093,0.019348302995214017,2,may26_17Hz_runup_IMG_0118; may26_17Hz_runup_IMG_0119,0.019348302995214017,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.07117224142734033,0.06981083973432851,0.11287101777868079
40,20.0,21.049999999999933,,0.38639973383221093,,1,may26_20Hz_runup_IMG_0128,0.0,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.11167880838382946,0.07309620978532227,0.31330352404688866
40,22.0,23.099999999999927,0.07071067811865074,0.3427054212404922,0.0028434448206355154,2,may26_22Hz_runup_IMG_0161; may26_22Hz_runup_IMG_0134,0.0028434448206355154,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.09345529679360462,0.07794932406234863,0.2647560971781436
40,25.0,26.32499999999991,0.03535533905932913,0.4374193767062832,0.03174873350999332,2,may26_25Hz_runup_IMG_0139; may26_25Hz_runup_IMG_0160,0.03174873350999332,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.08937822337437075,0.08873968459995905,0.34867969210632416
40,27.0,28.449999999999903,0.07071067811865953,0.442516842457199,0.01444930658141667,2,may26_27Hz_runup_IMG_0159; may26_27Hz_runup_IMG_0145,0.01444930658141667,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.11590614487789683,0.09763419686704639,0.34488264559015264
40,30.0,31.499999999999893,0.0,0.48809584460935873,0.01788152293746621,2,may26_30Hz_runup_IMG_0150; may26_30Hz_runup_IMG_0158,0.01788152293746621,2.8569585735102928e-06,0.0031372205129336,5.482206475964056,1098.0980060480797,0.06935,0.11440245326954827,0.1126889276526685,0.37540691695669026
50,15.0,15.049999999999956,0.0,0.135756228993199,0.0148961286953843,3,jun1_50wt_15Hz_runup_IMG_0004; jun1_50wt_15Hz_runup_IMG_0005; jun1_50wt_15Hz_runup_IMG_0006,0.0148961286953843,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.13585537142387935,0.09973952903031767,0.03601669996288133
50,17.0,17.049999999999947,0.0,0.15192238177189843,0.02252881230428699,3,jun1_50wt_17Hz_runup_IMG_0008; jun1_50wt_17Hz_runup_IMG_0010; jun1_50wt_17Hz_runup_IMG_0011,0.02252881230428699,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.10091559687149754,0.10055761378299942,0.05136476798889901
50,20.0,20.199999999999935,0.0,0.1920760284626648,0.01609345636849298,3,jun1_50wt_20Hz_runup_IMG_0013; jun1_50wt_20Hz_runup_IMG_0014; jun1_50wt_20Hz_runup_IMG_0015,0.01609345636849298,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.12228835574429446,0.10730676974425905,0.08476925871840575
50,22.0,22.14999999999993,0.0,0.2342988898891892,0.017736393144604654,3,jun1_50wt_22Hz_runup_IMG_0017; jun1_50wt_22Hz_runup_IMG_0018; jun1_50wt_22Hz_runup_IMG_0019,0.017736393144604654,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.11501693230573086,0.1145803170568692,0.11971857283232
50,25.0,25.149999999999917,0.0,0.1864069486204392,0.015787439699580946,3,jun1_50wt_25Hz_runup_IMG_0022; jun1_50wt_25Hz_runup_IMG_0023; jun1_50wt_25Hz_runup_IMG_0024,0.015787439699580946,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.14219110086308975,0.12981836801061786,0.05658858060982133
50,27.0,27.14999999999991,0.0,0.26299689308053326,0.010794433799967425,3,jun1_50wt_27Hz_runup_IMG_0026; jun1_50wt_27Hz_runup_IMG_0027; jun1_50wt_27Hz_runup_IMG_0028,0.010794433799967425,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.1510192257104382,0.14243586279446432,0.12056103028606893
50,30.0,30.1999999999999,0.0,0.28416815992102157,0.017618491870327997,3,jun1_50wt_30Hz_runup_IMG_0029; jun1_50wt_30Hz_runup_IMG_0030; jun1_50wt_30Hz_runup_IMG_0031,0.017618491870327997,4.453417115841159e-06,0.0050036871239308,5.340162570767529,1123.5612999582586,0.068625,0.18861723685531603,0.16502772935001173,0.11914043057100984
60,15.0,14.999999999999954,0.0,0.1657459159376406,0.005460187553816282,2,jun1_60wt_15Hz_runup_IMG_0037; jun1_60wt_15Hz_runup_IMG_0038,0.005460187553816282,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.145236358810599,0.11360084870447489,0.05214506723316571
60,17.0,17.099999999999945,0.0,0.17568088247344446,0.018112928225730296,3,jun1_60wt_17Hz_runup_IMG_0041; jun1_60wt_17Hz_runup_IMG_0043; jun1_60wt_17Hz_runup_IMG_0044,0.018112928225730296,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.1230068785935698,0.12103669543742508,0.05464418703601938
60,20.0,20.199999999999935,0.0,0.2119211298112822,0.007202250217922378,3,jun1_60wt_20Hz_runup_IMG_0046; jun1_60wt_20Hz_runup_IMG_0047; jun1_60wt_20Hz_runup_IMG_0048,0.007202250217922378,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.1469968400686518,0.14141783438404146,0.07050329542724074
60,22.0,22.216666666666594,0.02886751345948221,0.2391396740740046,0.020438552930977714,3,jun2_60wt_22Hz_runup_IMG_0005; jun2_60wt_22Hz_runup_IMG_0006; jun2_60wt_22Hz_runup_IMG_0007,0.020438552930977714,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.16365403935606257,0.15995842277212544,0.07918125130187917
60,25.0,25.149999999999917,0.0,0.3349970074016804,0.014270410331348246,4,jun2_60wt_25Hz_runup_IMG_0008; jun2_60wt_25Hz_runup_IMG_0009; jun2_60wt_25Hz_runup_IMG_0010; jun2_60wt_25Hz_runup_IMG_0011,0.014270410331348246,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.20253934643976013,0.19330773997814255,0.14168926742353788
60,27.0,27.14999999999991,0.0,0.48032970140329606,0.01226054354950496,3,jun2_60wt_27Hz_runup_IMG_0012; jun2_60wt_27Hz_runup_IMG_0013; jun2_60wt_27Hz_runup_IMG_0014,0.01226054354950496,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.22198649651666852,0.21972408406617192,0.2606056173371242
60,30.0,30.1999999999999,0.0,0.5953046781026363,0.01582552207000846,3,jun2_60wt_30Hz_runup_IMG_0015; jun2_60wt_30Hz_runup_IMG_0016; jun2_60wt_30Hz_runup_IMG_0017,0.01582552207000846,7.692228993556392e-06,0.0088478493971077,6.686829233159108,1150.2321894628178,0.0679,0.2759897205527855,0.264874609859979,0.3304300682426573
70,15.0,15.049999999999956,0.0,0.3113017840518421,0.010387207068219568,3,jun2_70wt_15Hz_runup_IMG_0018; jun2_70wt_15Hz_runup_IMG_0019; jun2_70wt_15Hz_runup_IMG_0020,0.010387207068219568,1.5325840467596235e-05,0.0180568847990951,5.9412730638094216,1178.1986663160951,0.0674,0.23339867364985117,0.23199916199716264,0.07930262205467947
