run_id,saved_at_utc,reviewer,manual_status,manual_notes,manual_onset_time_s,manual_onset_gamma_g,manual_envelope_px,manual_raw_envelope_px,manual_log10_excess_px,manual_best_frequency_hz,manual_frequency_coherence,concentration_wt,nominal_drive_frequency_hz,drive_frequency_hz,automatic_accepted,automatic_onset_time_s,automatic_onset_gamma_g,automatic_strategy,automatic_accepted_estimates,automatic_uncertainty_iqr_gamma_g,old_threshold_onset_time_s,old_threshold_onset_gamma_g,previous_growth_onset_time_s,previous_growth_onset_gamma_g,diagnostic_fit_status,diagnostic_fit_r2,diagnostic_fit_slope_log10_per_g,source_batch_summary,source_summary_json,source_metrics_csv,original_manual_pick_batch,manual_onset_gamma_z_g,manual_onset_gamma_vector_recomputed_g,manual_gamma_metrics_csv,actual_drive_frequency_hz,recommended_onset_gamma_g,nu_m2_s,mu_pa_s,depth_mm,rho_kg_m3,surface_tension_N_per_m,manual_rect_mode_theory_gamma_g,manual_continuous_min_theory_gamma_g,manual_gamma_z_minus_rect_theory_g,manual_gamma_z_minus_continuous_min_theory_g,absolute_error_gamma_g
may27_20wt_15Hz_runup_IMG_0045,2026-06-03T14:04:23+00:00,,accepted,,3.61695599132,0.2230209743294277,0.0090707638067893,0.0088626108565177,-2.5403121754328315,8.713474817854538,0.0165745856353591,20,15.0,15.299999999999953,True,4.780558244802106,0.3057069797192204,sensitive_q25,108,0.0790082323301005,7.826667,0.4345485577799092,7.323333,0.4114661014894508,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0045/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0045/early_growth_metrics.csv,,0.22451931738269776,0.22530643370887823,outputs/runup_analysis/May27_20wt_15Hz_IMG_0045/accelerometer_gamma_metrics.csv,15.299999999999953,0.22451931738269776,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.07593280979780324,0.04071467165363004,0.1485865075848945,0.1838046457290677,0.1838046457290677
may27_20wt_15Hz_runup_IMG_0046,2026-06-03T14:02:47+00:00,,accepted,,3.87114299072,0.1803807976110963,0.0134265026907391,0.0131406672802298,-2.0275584675634883,7.699999999999971,1.0,20,15.0,15.299999999999953,True,8.321667,0.2815365211056882,sensitive_q25,216,0.0263836740559099,10.402083,0.3849329824060452,9.67,0.3523037311523757,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0046/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0046/early_growth_metrics.csv,,0.17848825704875163,0.1790171336349042,outputs/runup_analysis/May27_20wt_15Hz_IMG_0046/accelerometer_gamma_metrics.csv,15.299999999999953,0.17848825704875163,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.07593280979780324,0.04071467165363004,0.10255544725094838,0.13777358539512158,0.13777358539512158
may27_20wt_15Hz_runup_IMG_0047,2026-06-03T14:03:15+00:00,,accepted,,3.85864199074,0.1302406351192997,0.0083954296778675,0.0088397412358878,-2.281569151140768,7.6687063923685805,0.988950276243094,20,15.0,15.299999999999953,True,7.893907649607417,0.2886465430539139,sensitive_q25,144,0.0558120082912365,9.72,0.3777218247887506,8.72125,0.3433954932034381,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0047/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_15Hz_IMG_0047/early_growth_metrics.csv,,0.1295382185112669,0.13001894377086198,outputs/runup_analysis/May27_20wt_15Hz_IMG_0047/accelerometer_gamma_metrics.csv,15.299999999999953,0.1295382185112669,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.07593280979780324,0.04071467165363004,0.053605408713463656,0.08882354685763685,0.08882354685763685
may27_20wt_17Hz_runup_IMG_0051,2026-06-03T14:04:56+00:00,,accepted,,6.41717998461,0.281976481009029,0.0113658312683001,0.0116271351463727,-2.768296063603532,7.84999999999997,0.5402034339661667,20,17.0,17.399999999999945,True,6.890417,0.3075823721172785,sensitive_q25,162,0.0236008313509278,8.742083,0.3656384026981505,8.22625,0.3489179309549982,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0051/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0051/early_growth_metrics.csv,,0.2803750266910446,0.283161813096979,outputs/runup_analysis/May27_20wt_17Hz_IMG_0051/accelerometer_gamma_metrics.csv,17.399999999999945,0.2803750266910446,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04809152280181187,0.03915351563682066,0.23228350388923272,0.24122151105422393,0.24122151105422393
may27_20wt_17Hz_runup_IMG_0052,2026-06-03T14:13:07+00:00,,accepted,,11.53008897234,0.279548360991238,0.0109606596564839,0.0117453801851266,-2.1539652156857527,7.84999999999997,0.1602209944751381,20,17.0,17.399999999999945,True,12.541734657650576,0.3077811999008208,sensitive_q25,162,0.0141100751144488,14.313333,0.3451959577256769,13.119167,0.3269976586353522,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0052/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0052/early_growth_metrics.csv,,0.27693104248516826,0.28035565586225386,outputs/runup_analysis/May27_20wt_17Hz_IMG_0052/accelerometer_gamma_metrics.csv,17.399999999999945,0.27693104248516826,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04809152280181187,0.03915351563682066,0.2288395196833564,0.2377775268483476,0.2377775268483476
may27_20wt_17Hz_runup_IMG_0053,2026-06-03T14:13:19+00:00,,accepted,,8.02144361903477,0.2434276219719008,0.0103128054682875,0.0102742203476689,-2.148481860579913,7.842326200609301,0.0837208618111236,20,17.0,17.399999999999945,True,8.02144361903477,0.2429613732559507,sensitive_q25,108,0.0513157355578592,12.87375,0.3411665946055113,11.933333,0.3234982764499929,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0053/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_17Hz_IMG_0053/early_growth_metrics.csv,,0.24151249522121354,0.24366509407790576,outputs/runup_analysis/May27_20wt_17Hz_IMG_0053/accelerometer_gamma_metrics.csv,17.399999999999945,0.24151249522121354,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04809152280181187,0.03915351563682066,0.19342097241940168,0.2023589795843929,0.2023589795843929
may27_20wt_20Hz_runup_IMG_0056,2026-06-03T14:14:13+00:00,,accepted,,11.07588597342,0.298120677640757,0.0124116581949991,0.0108009168309751,-2.03616699865981,9.949999999999983,0.7569060773480663,20,20.0,20.499999999999936,True,7.095919990366328,0.1902781066765002,median_due_to_ensemble_spread,108,0.1760743178393784,13.535417,0.374730218034092,12.711667,0.3474382918023651,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0056/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0056/early_growth_metrics.csv,,0.27115774680053445,0.2975845921981677,outputs/runup_analysis/May27_20wt_20Hz_IMG_0056/accelerometer_gamma_metrics.csv,20.499999999999936,0.27115774680053445,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04304334224345856,0.03934612090449731,0.22811440455707588,0.23181162589603715,0.23181162589603715
may27_20wt_20Hz_runup_IMG_0057,2026-06-03T14:14:44+00:00,,accepted,,8.26316098018,0.306561820302643,0.0125765545226746,0.0117784565568506,-2.0416778783135183,11.75000000000001,0.5414364640883977,20,20.0,20.499999999999936,True,6.498528638611673,0.2402173142859328,median_due_to_ensemble_spread,108,0.1124346985037,10.826667,0.3642437688867343,10.1775,0.3399961070348143,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0057/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0057/early_growth_metrics.csv,,0.2789111012811895,0.30639347931009303,outputs/runup_analysis/May27_20wt_20Hz_IMG_0057/accelerometer_gamma_metrics.csv,20.499999999999936,0.2789111012811895,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04304334224345856,0.03934612090449731,0.23586775903773094,0.23956498037669222,0.23956498037669222
may27_20wt_20Hz_runup_IMG_0058,2026-06-03T14:15:11+00:00,,accepted,,11.10505497335,0.2967643694068809,0.0125246998796761,0.0109883646983646,-2.024115842407289,9.854343972282186,0.7237569060773481,20,20.0,20.499999999999936,True,8.709571671062832,0.2129703591553281,median_due_to_ensemble_spread,108,0.0848538342604958,13.805833,0.349725580089529,12.2683335,0.3223644641154177,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0058/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_20Hz_IMG_0058/early_growth_metrics.csv,,0.27049044575989484,0.29547386076709853,outputs/runup_analysis/May27_20wt_20Hz_IMG_0058/accelerometer_gamma_metrics.csv,20.499999999999936,0.27049044575989484,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.04304334224345856,0.03934612090449731,0.22744710351643627,0.23114432485539754,0.23114432485539754
may27_20wt_22Hz_runup_IMG_0061,2026-06-03T14:15:46+00:00,,accepted,,14.18030096598,0.3330561799653802,0.0126814716088194,0.0110511706157884,-2.0078181008091898,10.952845937125309,0.6683544423363241,20,22.0,22.54999999999993,True,15.145892607815885,0.3470746481845255,median_due_to_ensemble_spread,198,0.1734131463349901,16.51875,0.3757058603791854,15.5095835,0.3542820160092548,,,,outputs/runup_analysis/early_growth_onset/manual_review_all_current_20260603/early_growth_batch_summary.csv,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_22Hz_IMG_0061/early_growth_summary.json,outputs/runup_analysis/early_growth_onset/jun1_normalized_csv_20260602_081655/May27_20wt_22Hz_IMG_0061/early_growth_metrics.csv,,0.32041782541139363,0.33270534186324846,outputs/runup_analysis/May27_20wt_22Hz_IMG_0061/accelerometer_gamma_metrics.csv,22.54999999999993,0.32041782541139363,1.4512491001545784e-06,0.0015245086668082,5.711672744476956,1050.4803528531722,0.0712,0.06040058953262629,0.040794094283232885,0.26001723587876735,0.27962373112816075,0.27962373112816075
