nominal_frequency_hz,n,drive_frequency_mean_hz,drive_frequency_std_hz,k_mean_rad_per_m,k_std_rad_per_m,k_sem_rad_per_m,dispersion_theory_k_mean_rad_per_m
15.0,2,15.000000000000028,0.0,201.6576015530823,0.0,0.0,205.7373220218501
20.0,2,20.087499999999878,0.017677669529665197,293.2882003838103,0.0,0.0,282.8823181313216
25.0,2,25.049999999999883,0.0,342.50689458218847,0.0,0.0,355.58416013038186
30.0,2,30.06249999999988,0.01767766952966017,403.3152031061646,0.0,0.0,424.5954643726164
35.0,2,35.062499999999886,0.017677669529662682,489.959978093392,2.6180778520002885,1.8512606028237142,488.9889437178402
37.0,2,37.07499999999988,0.0,517.1331447173964,0.0,0.0,513.7765938982566
40.0,3,40.174999999999876,0.09013878188659462,531.6393820594548,12.562770051548993,7.25311867102918,550.8241755613586
42.0,1,42.17499999999987,,651.0696668752931,,,574.0548255856431
45.0,2,45.09999999999988,0.10606601717797108,609.8684265147583,6.92345482431431,4.895621855511365,607.1656533915423
47.0,1,47.22499999999987,,651.0696668752931,,,630.6283057189924
50.0,1,50.27499999999987,,651.0696668752931,,,663.5076218647484
